Total attrs: 57375
past greats	过去的伟人
otherdata1	otherdata1
pastis	茴香酒
School Director	学校主任
awards_label	awards_label
otherdata6	otherdata6
altmap	altmap
publisher (country)	发行商（国家）
colourcode	colourcode
commonscat	commonscat
organization_mission	organization_mission
pol_subdiv	pol_subdiv
launch_platform	launch_platform
Gaelic_name	gaelic_name
Visitor Assistant Coach	游客助理教练
MCD	MCD
clallirelandh	clallirelandh
Image_Width	image_width
face	面对
AA apps	一应用程序
head of christian life	基督徒生命之首
bwf_id	bwf_id
subgroup	子群
Reverse2	reverse2
MCR	MCR
avg_grade_size	avg_grade_size
length_route	length_route
mean2	的意思
dba	DBA
shire_distric t	shire_distric T
battle cry	战斗呐喊
Service music	服务音乐
Population_total	population_total
disbanded	解散
near-s	near-s
S/o	的/哦
ru_tries12	ru_tries12
gpu2	gpu2
formerteam	formerteam
DVDs/VHS	DVD和VHS
population_2	population_2
principal	主
ru_currentteam	ru_currentteam
Jersey Numbers	球衣号码
wc_championship	wc_championship
best_tv_drama	best_tv_drama
pastteam	pastteam
membership_title1	membership_title1
membership_title2	membership_title2
membership_title3	membership_title3
honorific_sufffix	honorific_sufffix
Education 4	教育4
lbl10	lbl10
MapAlt	mapalt
DienstmasseMitTender	dienstmassemittender
1st XV coaches	第一十五教练
Other entrances/ exits	其他出入口
distance_travelled	distance_travelled
Virus strain	病毒株
crew_size	crew_size
ASS Active years	驴活动年
origin_lat_NS	origin_lat_ns
McBee	麦克比
Film name	电影名
Fast_Rider_SS_Country	fast_rider_ss_country
Stations called at	车站称为
Feldname7	feldname7
smash	粉碎
Feldname5	feldname5
tax end 3	税收3
tax end 2	税收2
undergraduate_students	undergraduate_students
marital_status	marital_status
name_of_state	name_of_state
models_made	models_made
podium finishes	领奖台
Feldname8	feldname8
last published	最后出版
no World cup apps	世界杯应用程序
venerated in	受尊敬
end1	end1
avgclass_size	avgclass_size
Skiable area	滑雪区
end2	2.
mandatory	强制性的
end4	end4
end7	没有
end6	end6
admin_years	admin_years
Acting Headteacher	代理校长
conservatories	音乐学院
ministryend2	ministryend2
Total ships building	船舶总建筑
Third_Rider_80	third_rider_80
percentageMalt	percentagemalt
proyears19	proyears19
Results (President)	结果（总裁）
proyears10	proyears10
model years	模型年
best	最好的
voice_actor	voice_actor
valvetrain	配气机构
medal templates	勋章模板
synod	会议
postdocs	博士后
level1name	level1name
college officer	学院官员
supervising Producer	监督生产商
color text	彩色文本
ends	结束
average price	平均价格
early location	早期定位
1bl1	1BL1
room count	房间计数
Lyicist	lyicist
former title	原标题
enda	恩达
location_province	location_province
Song-Writer	歌曲作者
endb	鼻胆管引流术
year_end2	year_end2
discovery_ref	discovery_ref
configuration	配置
population_of_men	population_of_men
youth coordinator	青年协调员
umpodilastyr	umpodilastyr
state_minister1_title	state_minister1_title
Executive Assistant	行政助理
School ofsted	学校教育标准局
national-fn3	national-fn3
Screens	屏幕
median household income	中等家庭收入
nominee9	nominee9
nominee8	nominee8
streams	流
stat25label	stat25label
nominee3	nominee3
nominee2	nominee2
nominee1	nominee1
nominee7	nominee7
Campus	校园
nominee5	nominee5
nominee4	nominee4
max elevation_m	最大elevation_m
SBK Race Starts	SBK比赛开始
coachgames7	coachgames7
committee chairman	委员会主席
am_loss	am_loss
Dep. of student	学院的学生
stock option	股票期权
snowfall	降雪
godina7	godina7
Metro zone	地铁区域
godina5	godina5
School Students	学校学生
Chief Designer	总设计师
Offensive Coordinator	进攻协调员
maxtemp_footnotes	maxtemp_footnotes
Nation from	国家
special project grants	特殊项目资助
Reaching military age annually	每年达到军事时代
godina8	godina8
first held	首次举行
significant_building	significant_building
creationLocation	creationlocation
refereeyear1start	refereeyear1start
official song	官方歌曲
statseason1	statseason1
year record low C	年记录低
Phone	电话
Pet Names	宠物名字
gross_written_premium	gross_written_premium
chalkboard	黑板
ru_clubyears	ru_clubyears
9th grade	第九级
Congregations served	担任教会
Stations	站
lga	LGA
Automorphisms	自同构
Stadt	城市
Check digit	校验位
runners-up1	runners-up1
inductance	电感
length_km3	length_km3
length_km2	length_km2
length_km1	length_km1
(s)Captain	（船长）船长
length_km4	length_km4
commerce	商务
Max. focus distance	最大焦点距离
pushpin label position	图钉标签位置
assistant_principal(s)	assistant_principal（S）
license no.	许可证编号
choirmaster	唱诗班指挥
first_color	first_color
sports governing	体育治理
Zugfahrten	zugfahrten
vc	VC
Party affiliation	党派关系
Percentage3	percentage3
Percentage2	percentage2
music_director	music_director
site	网站
Percentage5	percentage5
Literary	文学
Tunnels	隧道
1st team coach	第一队主教练
suspension Rear	悬挂后
percent asian	亚洲百分之
dial_code	dial_code
Puma Trophy	彪马奖杯
ru_year7end	ru_year7end
!closed	！关闭
currentpositionplain	currentpositionplain
dilouges	dilouges
cite public law	引用公法
Circuit length	电路长度
station_manager	station_manager
coach_years	coach_years
drink	喝
WC 2nd times	厕所第二次
opening name	开启名
Remix Engineer	混音工程师
origin_height_m	origin_height_m
cultivar	品种
technical adviser	技术顾问
Reference no.	参考编号
First GP win	第一次大奖赛
max_voltage	max_voltage
third_place	third_place
Founder_title	founder_title
corporatised	公司化
all time topscorer	所有时间最佳射手
physical_connector	physical_connector
ASA/ISO range	一/标准化的范围
five_seasons	five_seasons
coachgames2	coachgames2
Executive_Producer	executive_producer
brother president	兄弟总统
alocation_city	alocation_city
exterior_screen	exterior_screen
place_of_residence	place_of_residence
rooms	房间
Final Season	最后季节
test_barrel_length	test_barrel_length
ice rink operator	溜冰场算子
VisitorOT3	visitorot3
Company	单位
most_championships	most_championships
current_command master chief	current_command士官长
world headquarters	世界总部
previous names	以前的名字
location of highest mount	最高安装位置
executive chef	行政总厨
drop1_ft	drop1_ft
القطر	القطر
co_exec	co_exec
governor_map_caption	governor_map_caption
zip-code	邮政编码
spec_label	spec_label
short_name	short_name
government	政府
sailors	水手
cflundraftedyear	cflundraftedyear
currentteam	currentteam
library collection	馆藏
Date Lost	日期丢失
vice captain	副机长
Host nation	主办国
Engineers	工程师
LR service hours	LR的服务时间
heads_statement_label	heads_statement_label
Creed	信条
Profession	职业
philanthropies	慈善事业
LENGTH	长度
godina4	godina4
ru_am update	ru_am更新
Coat of arms	武器的外衣
coachyearCend	coachyearcend
sexual prefence	性偏好
Ladies employees	女员工
secondary head	二次头
creative_team_month	creative_team_month
Number of Gold Discs	金碟数
TIMES_W	times_w
isocode	isocode
party_leader	party_leader
teamCstart	teamcstart
arrival_date	arrival_date
Skin color	肤色
Passenger Movement	乘客运动
Alliance slogan	联盟口号
pcountry	pcountry
clubchampion	clubchampion
campus_area	campus_area
golf_courses	golf_courses
occugfgfgpation	occugfgfgpation
taluk	间
ru_name	ru_name
goya awards	戈雅奖
Main commodities	主要商品
director of instruction	教学指导
curriculum director	课程主任
pastcoaching	pastcoaching
am_win	am_win
service area	服务区
counties	县
senior curator	高级策展人
Local Employees	本地雇员
Mammal(s)	哺乳动物（的）
listing_reference	listing_reference
Design date	设计日期
adopted mother	领养母亲
cholesterol_mg	cholesterol_mg
ASS Total Points	屁股总点
chief3_position	chief3_position
Year_founded	year_founded
Lifetime	一生
associate architect	副架构师
Current prime minister	现任总理
software	软件
All stars	全明星
governing agency	治理机构
Gujarati	古吉拉特语
election_term	election_term
performer_by	performer_by
Named for	命名为
est_oil_ref	est_oil_ref
runner–up	跑步者
Special Edtn	特殊edtn
playoffs_MVP_link	playoffs_mvp_link
winterappearances	winterappearances
weight_lbs	weight_lbs
All races	所有种族
Chief Operating Officer	首席运营官
Oct_Precip_inch	oct_precip_inch
Main sponsor	主要发起人
team1_10	team1_10
SciFi	科幻
HÖHENBEZUG-QUELLE	HÖhenbezug-quelle
designation_free1name	designation_free1name
launch_date	launch_date
launch_data	launch_data
Memorial Cups	纪念杯
Speaker3	speaker3
num_members_year	num_members_year
near-n	near-n
Pass members	通过成员
Justice Clergy Instruction 2	司法牧师指导2
online editorial director	在线编辑部主任
ulumni site	ulumni网站
near-e	near-e
Fußbodenhöhe	福ßbodenhö他
Womens most recent champion(s)	妇女最新冠军（的）
highest_elevation_unit	highest_elevation_unit
Designations	名称与符号
SR rate	锶率
Martial status	军事地位
name_of_chief_secretary	name_of_chief_secretary
lo2	LO2
your face	你的脸
lo5	lo5
Formed:	形成：
consecration_year	consecration_year
websiteurl	websiteurl
Teacher/Student	教师/学生
Origin of name	名称由来
No. of Issues	问题的问题
details3	details3
core8	芯8
core1	芯1
life partner	生活伙伴
Visitor BCS	游客BCS
most_goals_scored_in_a_season	most_goals_scored_in_a_season
Judge5	judge5
'<ref nameQS (Asian)	“<参考nameqs（亚洲）
itu_prefix	itu_prefix
mrho	mrho
native_name_lan	native_name_lan
other_product8	other_product8
co-Founders	联合创始人
Head of Primary	原头
designation3_free3value	designation3_free3value
irish	爱尔兰
Subsequent history	后来的历史
CIE	CIE
int	int
media_formats	media_formats
estimated net_worth	估计net_worth
finalchap	finalchap
open	打开
skirt1	skirt1
skirt2	skirt2
Outcome	结果
near-w	near-w
Tradition or movement	传统或运动
2011: Anugerah Industri Muzik	2011：请问该挂
percent_other	percent_other
other_product2	other_product2
identification_symbol_5_label	identification_symbol_5_label
municip	市
freshman academy principal	大一学院校长
Beginning date	开始日期
current-owner	目前的所有者
distribution	分布
Created Rabbi	创建的拉比
Ship burthen	船舶负荷
Monitor	监控
Previous Name	先前的名字
college code	大学守则
religions	宗教
postgrad label	研究生的标签
leader9_type	leader9_type
Chef De Mission	厨师任务
keywords	关键词
stat9label	stat9label
Longitudine EW	longitudine EW
Third_Race1	third_race1
first_meeting	first_meeting
Feature race victories	特征赛跑胜利
Stance	立场
Brakes Front	刹车前
assistant head	辅助头
call letter	打电话
Communities served	社区服务
ecwins	ecwins
profesion	行业
creative ambassador	创意大使
eISSN2label	eissn2label
Head coaches	总教练
3data6	3data6
3data5	3data5
3data4	3data4
Formation of seeds	种子的形成
religion_	religion_
3data1	3data1
personality	人格
writing style	写作风格
Best House	最好的房子
deputy_chairman	deputy_chairman
RO-LMI	ro-lmi
religion.	宗教。
dam_height	dam_height
PAhistoric_type3	pahistoric_type3
coatofarms	coatofarms
atmosphere_ref	atmosphere_ref
trustee president	受托人主席
states and provinces	国家和省份
latNS2	latns2
zditor	zditor
number_date	number_date
age at time of publication	出版时的年龄
Deck	甲板
arranged_by	arranged_by
profle	剖面
stage_director	stage_director
term7	term7
term6	term6
term5	term5
term4	term4
term3	术语
term2	term2
term1	并
athleticdirectorl3	athleticdirectorl3
term9	term9
favouritewaves	favouritewaves
Rivals	竞争对手
w5	W5
w4	W4
w3	W3
w2	W2
term.	术语。
secondaryrole	secondaryrole
placeofbirth	placeofbirth
State/territory	国家/地区
dissertation	论文
Market Cap	市场帽
Water	水
successor9	successor9
Türen	Tü任
(old) Ship power	（旧）船舶动力
name_name_lang	name_name_lang
successor6	successor6
Channel width	通道宽度
circumscription9	circumscription9
sound mixing	声音混合
product Category	产品类别
population_blank_1_title	population_blank_1_title
story	故事
operating result	运行结果
Ship sold	出售船舶
sport houses	体育住宅
Assistant editor	助理编辑
term16a	term16a
Tax ID	税务标识
Contract award	合同奖
best E.T.	最好的E.T.
Time to Construct	构建时间
Writer(s)	作者（作者）
Bitrate	比特率
Social Media	社交媒体
Frozen	冷冻
{{abbr	{ {简称
Market cap	市场帽
Women's British Open	英国女子公开赛
Azimuth	方位角
His children	他的孩子
Agriculture end	农业结束
animators	动画师
webcam	摄像头
Cooking time	烹饪时间
alumna	校友
alumni	校友
Max. volume size	最大体积大小
teamlpodiums	teamlpodiums
wpname	wpname
describtion	描述
labour (INLC)	劳动（LC）
recent champions	最近的冠军
Catalogued	编目
BGM	BGM
MoM	妈妈
coregent	coregent
era3_lines	era3_lines
youthyears	童年挖掘
leader_title9	leader_title9
photographs	照片
Spouse_Name	spouse_name
Peak vehicle requirement	峰值车辆需求
terma_start	terma_start
college years1	学院years1
a_rightarm	a_rightarm
AFL_drafted_year	afl_drafted_year
entries	条目
Elevated flyover_km	flyover_km升高
Jersey	泽西
World records set	世界记录集
native(Hebrew)_name	本地（希伯来文）_name
:Mishnah	：密西拿
demo-area-ref	试玩区参考
League Stage Winners	联赛冠军
presented	提出了
host ground	主机接地
edinburgh_distance_km	edinburgh_distance_km
icon3	可以是
other_name2	other_name2
other_name1	other_name1
presenter	主持人
past_principal_conductors	past_principal_conductors
Cost of 30-second commercial	30秒商业成本
3namedata1	3namedata1
3namedata2	3namedata2
3namedata3	3namedata3
3namedata4	3namedata4
coachfinalyear	coachfinalyear
Net sales	净销售额
census yr	普查年
